"URDUSRLC.Code.or.Value","URDUSRLC.Value.Description","URDUSRLC.Count","URDUSRLC.Cumulative","URDUSRLC.Skip.to.Item"
"0","At or above the detection limit",2663,2663,NA
"1","Below lower detection limit",1,2664,NA
".","Missing",91,2755,NA
