"RFXC048.Code.or.Value","RFXC048.Value.Description","RFXC048.Count","RFXC048.Cumulative","RFXC048.Skip.to.Item"
"-7.685 to 3.989","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
