"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"37.8 to 178.2","Range of Values",8538,8538,NA
".","Missing",1224,9762,NA
