"LBXARY.Code.or.Value","LBXARY.Value.Description","LBXARY.Count","LBXARY.Cumulative","LBXARY.Skip.to.Item"
"0.1 to 34","Range of Values",6482,6482,NA
".","Missing",953,7435,NA
