"LBXPLTSI.Code.or.Value","LBXPLTSI.Value.Description","LBXPLTSI.Count","LBXPLTSI.Cumulative","LBXPLTSI.Skip.to.Item"
"12 to 999.9","Range of Values",8951,8951,NA
".","Missing",978,9929,NA
