"DXXLABMD.Code.or.Value","DXXLABMD.Value.Description","DXXLABMD.Count","DXXLABMD.Cumulative","DXXLABMD.Skip.to.Item"
"0.313 to 1.496","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
