"OHQ105.Code.or.Value","OHQ105.Value.Description","OHQ105.Count","OHQ105.Cumulative","OHQ105.Skip.to.Item"
"1","Yes",270,270,NA
"2","No",5533,5803,NA
"7","Refused",3,5806,NA
"9","Don't know",4,5810,NA
".","Missing",4317,10127,NA
