"AUXRR115.Code.or.Value","AUXRR115.Value.Description","AUXRR115.Count","AUXRR115.Cumulative","AUXRR115.Skip.to.Item"
"-54 to 75","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
