"LBXLYPCT.Code.or.Value","LBXLYPCT.Value.Description","LBXLYPCT.Count","LBXLYPCT.Cumulative","LBXLYPCT.Skip.to.Item"
"2.6 to 88","Range of Values",8519,8519,NA
".","Missing",903,9422,NA
