"AUXLR173.Code.or.Value","AUXLR173.Value.Description","AUXLR173.Count","AUXLR173.Cumulative","AUXLR173.Skip.to.Item"
"-8 to 61","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
