"AUDTYL53.Code.or.Value","AUDTYL53.Value.Description","AUDTYL53.Count","AUDTYL53.Cumulative","AUDTYL53.Skip.to.Item"
"0 to 3.44","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
