"URXMSM.Code.or.Value","URXMSM.Value.Description","URXMSM.Count","URXMSM.Cumulative","URXMSM.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2494,2494,NA
".","Missing",200,2694,NA
