"BIXC806K.Code.or.Value","BIXC806K.Value.Description","BIXC806K.Count","BIXC806K.Cumulative","BIXC806K.Skip.to.Item"
"4.62 to 701.69","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
