"LBXV2T.Code.or.Value","LBXV2T.Value.Description","LBXV2T.Count","LBXV2T.Cumulative","LBXV2T.Skip.to.Item"
"0.0071 to 0.0071","Range of Values",2843,2843,NA
".","Missing",572,3415,NA
