"OCQ440.Code.or.Value","OCQ440.Value.Description","OCQ440.Count","OCQ440.Cumulative","OCQ440.Skip.to.Item"
"1 to 24","Range of Values",720,720,NA
"7777","Refused",0,720,NA
"9999","Don't know",3,723,NA
".","Missing",6572,7295,NA
