"DR1IM201.Code.or.Value","DR1IM201.Value.Description","DR1IM201.Count","DR1IM201.Cumulative","DR1IM201.Skip.to.Item"
"0 to 2.736","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
