"TYXA163.Code.or.Value","TYXA163.Value.Description","TYXA163.Count","TYXA163.Cumulative","TYXA163.Skip.to.Item"
"0.09 to 6.641","Range of Values",4262,4262,NA
".","Missing",4207,8469,NA
