"WBXA099.Code.or.Value","WBXA099.Value.Description","WBXA099.Count","WBXA099.Cumulative","WBXA099.Skip.to.Item"
"-197.7625 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
