"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"102.8 to 654.1","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
