"URDP03LC.Code.or.Value","URDP03LC.Value.Description","URDP03LC.Count","URDP03LC.Cumulative","URDP03LC.Skip.to.Item"
"0","At or above the detection limit",2585,2585,NA
"1","Below lower detection limit",65,2650,NA
".","Missing",105,2755,NA
