"LBC028LA.Code.or.Value","LBC028LA.Value.Description","LBC028LA.Count","LBC028LA.Cumulative","LBC028LA.Skip.to.Item"
"0.3 to 23.7","Range of Values",264,264,NA
".","Missing",0,264,NA
