"DID060.Code.or.Value","DID060.Value.Description","DID060.Count","DID060.Cumulative","DID060.Skip.to.Item"
"1 to 74","Range of Values",212,212,NA
"666","Less than 1 month",5,217,NA
"777","Refused",0,217,NA
"999","Don't know",2,219,NA
".","Missing",9447,9666,NA
