"AUQ139.Code.or.Value","AUQ139.Value.Description","AUQ139.Count","AUQ139.Cumulative","AUQ139.Skip.to.Item"
"1","Yes",196,196,NA
"2","No",1408,1604,NA
"7","Refused",1,1605,NA
"9","Don't know",16,1621,NA
".","Missing",7276,8897,NA
