"DR2_330Z.Code.or.Value","DR2_330Z.Value.Description","DR2_330Z.Count","DR2_330Z.Cumulative","DR2_330Z.Skip.to.Item"
"0 to 11835","Range of Values",6639,6639,NA
".","Missing",2065,8704,NA
