"PEASCTM1.Code.or.Value","PEASCTM1.Value.Description","PEASCTM1.Count","PEASCTM1.Cumulative","PEASCTM1.Skip.to.Item"
"0 to 2268","Range of Values",10477,10477,NA
".","Missing",0,10477,NA
