"DUQ230.Code.or.Value","DUQ230.Value.Description","DUQ230.Count","DUQ230.Cumulative","DUQ230.Skip.to.Item"
"1 to 30","Range of Values",536,536,NA
"777","Refused",1,537,NA
"999","Don't know",2,539,NA
".","Missing",4763,5302,NA
