"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0.1 to 2.2","Range of Values",7948,7948,NA
".","Missing",884,8832,NA
