"WTSCI42.Code.or.Value","WTSCI42.Value.Description","WTSCI42.Count","WTSCI42.Cumulative","WTSCI42.Skip.to.Item"
"0 to 471268.53263","Range of Values",727,727,NA
".","Missing",51,778,NA
