"BPQ150D.Code.or.Value","BPQ150D.Value.Description","BPQ150D.Count","BPQ150D.Cumulative","BPQ150D.Skip.to.Item"
"1","Yes",118,118,NA
"2","No",6942,7060,NA
".","Missing",2278,9338,NA
