"URXHLS.Code.or.Value","URXHLS.Value.Description","URXHLS.Count","URXHLS.Cumulative","URXHLS.Skip.to.Item"
"0.0495 to 0.0495","Range of Values",2485,2485,NA
".","Missing",271,2756,NA
