"DXXSQSCR.Code.or.Value","DXXSQSCR.Value.Description","DXXSQSCR.Count","DXXSQSCR.Cumulative","DXXSQSCR.Skip.to.Item"
"0 to 3","Range of Values",3109,3109,NA
".","Missing",599,3708,NA
