"RFXC134.Code.or.Value","RFXC134.Value.Description","RFXC134.Count","RFXC134.Cumulative","RFXC134.Skip.to.Item"
"-7.661 to 6.601","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
