"DR2TVC.Code.or.Value","DR2TVC.Value.Description","DR2TVC.Count","DR2TVC.Cumulative","DR2TVC.Skip.to.Item"
"0 to 1157.8","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
