"SMD415A.Code.or.Value","SMD415A.Value.Description","SMD415A.Count","SMD415A.Cumulative","SMD415A.Skip.to.Item"
"1 to 2","Range of Values",1862,1862,NA
"3","3 or More",173,2035,NA
".","Missing",8087,10122,NA
