"DSQ128S.Code.or.Value","DSQ128S.Value.Description","DSQ128S.Count","DSQ128S.Cumulative","DSQ128S.Skip.to.Item"
"91","OTHER SPECIFY",105,105,NA
".","Missing",8295,8400,NA
