"DRD350E.Code.or.Value","DRD350E.Value.Description","DRD350E.Count","DRD350E.Cumulative","DRD350E.Skip.to.Item"
"1","Yes",255,255,""
"2","No",3506,3761,"DRD350F"
".","Missing",6052,9813,""
