"DRD350IQ.Code.or.Value","DRD350IQ.Value.Description","DRD350IQ.Count","DRD350IQ.Cumulative","DRD350IQ.Skip.to.Item"
"1 to 10","Range of Values",220,220,NA
".","Missing",9593,9813,NA
