"WTSBA07.Code.or.Value","WTSBA07.Value.Description","WTSBA07.Count","WTSBA07.Cumulative","WTSBA07.Skip.to.Item"
"0 to 354449.94828","Range of Values",946,946,NA
".","Missing",65,1011,NA
