"OHQ575Q.Code.or.Value","OHQ575Q.Value.Description","OHQ575Q.Count","OHQ575Q.Cumulative","OHQ575Q.Skip.to.Item"
"1 to 30","Range of Values",181,181,""
"7777","Refused",0,181,"OHQ580"
"9999","Don't know",2,183,"OHQ580"
".","Missing",9587,9770,""
