"AUXRR132.Code.or.Value","AUXRR132.Value.Description","AUXRR132.Count","AUXRR132.Cumulative","AUXRR132.Skip.to.Item"
"-43 to 64","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
