"MCQ160g.Code.or.Value","MCQ160g.Value.Description","MCQ160g.Count","MCQ160g.Cumulative","MCQ160g.Skip.to.Item"
"1","Yes",100,100,NA
"2","No",5450,5550,NA
"7","Refused",1,5551,NA
"9","Don't know",8,5559,NA
".","Missing",3805,9364,NA
