"DS1ILZ.Code.or.Value","DS1ILZ.Value.Description","DS1ILZ.Count","DS1ILZ.Cumulative","DS1ILZ.Skip.to.Item"
"3 to 48000","Range of Values",458,458,NA
".","Missing",5610,6068,NA
