"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"614.5 to 1192.1","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
