"DRD370IQ.Code.or.Value","DRD370IQ.Value.Description","DRD370IQ.Count","DRD370IQ.Cumulative","DRD370IQ.Skip.to.Item"
"1 to 4","Range of Values",93,93,NA
".","Missing",9451,9544,NA
