"SXQ648.Code.or.Value","SXQ648.Value.Description","SXQ648.Count","SXQ648.Cumulative","SXQ648.Skip.to.Item"
"1","Yes",547,547,NA
"2","No",2178,2725,NA
"7","Refused",0,2725,NA
"9","Don't know",1,2726,NA
".","Missing",2070,4796,NA
