"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",1540,1540,NA
"2","Monday",622,2162,NA
"3","Tuesday",806,2968,NA
"4","Wednesday",723,3691,NA
"5","Thursday",920,4611,NA
"6","Friday",2436,7047,NA
"7","Saturday",2113,9160,NA
".","Missing",483,9643,NA
