"LBDBCDSI.Code.or.Value","LBDBCDSI.Value.Description","LBDBCDSI.Count","LBDBCDSI.Cumulative","LBDBCDSI.Skip.to.Item"
"1.78 to 65.84","Range of Values",5616,5616,NA
"0.89","Below Limit of Detection",2756,8372,NA
".","Missing",807,9179,NA
