"URX4BP.Code.or.Value","URX4BP.Value.Description","URX4BP.Count","URX4BP.Cumulative","URX4BP.Skip.to.Item"
"1.24 to 1310","Range of Values",2385,2385,NA
".","Missing",220,2605,NA
