"TYXP038.Code.or.Value","TYXP038.Value.Description","TYXP038.Count","TYXP038.Cumulative","TYXP038.Skip.to.Item"
"-29 to 192","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
