"ACD040.Code.or.Value","ACD040.Value.Description","ACD040.Count","ACD040.Cumulative","ACD040.Skip.to.Item"
"1","Only Spanish,",694,694,NA
"2","More Spanish than English,",198,892,NA
"3","Both equally,",368,1260,NA
"4","More English than Spanish, or",202,1462,NA
"5","Only English?",430,1892,NA
"7","Refused",0,1892,NA
"9","Don't know",3,1895,NA
".","Missing",5449,7344,NA
