"AUDTYL12.Code.or.Value","AUDTYL12.Value.Description","AUDTYL12.Count","AUDTYL12.Cumulative","AUDTYL12.Skip.to.Item"
"0 to 2.59","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
