"SPFDE.Code.or.Value","SPFDE.Value.Description","SPFDE.Count","SPFDE.Cumulative","SPFDE.Skip.to.Item"
"0.2 to 7.8","Range of Values",1456,1456,NA
".","Missing",0,1456,NA
