"WTSSBI2Y.Code.or.Value","WTSSBI2Y.Value.Description","WTSSBI2Y.Count","WTSSBI2Y.Cumulative","WTSSBI2Y.Skip.to.Item"
"11617.110763 to 931491.77436","Range of Values",2393,2393,NA
"0","No lab specimen",0,2393,NA
".","Missing",0,2393,NA
