"URDP25LC.Code.or.Value","URDP25LC.Value.Description","URDP25LC.Count","URDP25LC.Cumulative","URDP25LC.Skip.to.Item"
"0","At or above the detection limit",2638,2638,NA
"1","Below lower detection limit",12,2650,NA
".","Missing",105,2755,NA
