"DXXRALI.Code.or.Value","DXXRALI.Value.Description","DXXRALI.Count","DXXRALI.Cumulative","DXXRALI.Skip.to.Item"
"767.5 to 8388.9","Range of Values",4031,4031,NA
".","Missing",1083,5114,NA
