"WTSPH27.Code.or.Value","WTSPH27.Value.Description","WTSPH27.Count","WTSPH27.Cumulative","WTSPH27.Skip.to.Item"
"0 to 795953.93857","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
