"DXXRABMC.Code.or.Value","DXXRABMC.Value.Description","DXXRABMC.Count","DXXRABMC.Cumulative","DXXRABMC.Skip.to.Item"
"32.7 to 375.33","Range of Values",4684,4684,NA
".","Missing",1008,5692,NA
