"LBXD01.Code.or.Value","LBXD01.Value.Description","LBXD01.Count","LBXD01.Cumulative","LBXD01.Skip.to.Item"
"8.2 to 479.3","Range of Values",1915,1915,NA
".","Missing",359,2274,NA
