"DEX2PSAL.Code.or.Value","DEX2PSAL.Value.Description","DEX2PSAL.Count","DEX2PSAL.Cumulative","DEX2PSAL.Skip.to.Item"
"1","Present",41,41,NA
".","Missing",2951,2992,NA
