"CBQ825.Code.or.Value","CBQ825.Value.Description","CBQ825.Count","CBQ825.Cumulative","CBQ825.Skip.to.Item"
"1","Yes",1379,1379,NA
"2","No",1012,2391,NA
"7","Refused",0,2391,NA
"9","Don't know",55,2446,NA
".","Missing",499,2945,NA
