"OSQ090f.Code.or.Value","OSQ090f.Value.Description","OSQ090f.Count","OSQ090f.Cumulative","OSQ090f.Skip.to.Item"
"1","Yes",11,11,"OSQ120f"
"2","No",1,12,""
"7","Refused",0,12,"OSQ120f"
"9","Don't know",0,12,"OSQ120f"
".","Missing",6206,6218,""
