"DS2ICALC.Code.or.Value","DS2ICALC.Value.Description","DS2ICALC.Count","DS2ICALC.Cumulative","DS2ICALC.Skip.to.Item"
"2 to 3000","Range of Values",2380,2380,NA
".","Missing",3523,5903,NA
