"DRQ350BQ.Code.or.Value","DRQ350BQ.Value.Description","DRQ350BQ.Count","DRQ350BQ.Cumulative","DRQ350BQ.Skip.to.Item"
"1 to 20","Range of Values",732,732,NA
".","Missing",8550,9282,NA
