"AUXLR164.Code.or.Value","AUXLR164.Value.Description","AUXLR164.Count","AUXLR164.Cumulative","AUXLR164.Skip.to.Item"
"-11 to 41","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
